Datacenter,Rack,Elevation,Hostname,Domain,Model,Host Serial Num,Chassis Serial Num,Service Tag,UW,CSL,Morgridge,Notes
CS2360,10S-110,24-25,ap2007,chtc.wisc.edu,Dell PowerEdge C6525,43MCPK3,,43MCPK3,U044335,,,AKA ap40; Part of PATh Facility (WISCB/osg) fabrication. UW PO MSN0089792
CS2360,10S-113,21-24,voyles2000,chtc.wisc.edu,Dell PowerEdge XE8545,264D6S3,,264D6S3,none,,,Torn apart - Confirmed no UW tag anywhere on the chassis
CS2360,10N-112,1-2,coba2000,chtc.wisc.edu,Super Micro AS -2124GQ-NART,S430390X0C11405,,S430390X0C11405,none,,,Torn apart - Confirmed no UW tag anywhere on the chassis
CS2360,8S-205,9-10,deepdive2000,chtc.wisc.edu,Dell PowerEdge R515,FVWTPQ1,,FVWTPQ1,U015707,,,
CS2360,10N-112,5-8,dmorgan2000,chtc.wisc.edu,King Star SYS-7049GP-TRT,52671011216193W+S291427X9A13534,,52671011216193W+S291427X9A13534,U039561,,,Two Serial #s on host
CS2360,10N-112,13-14,dmorgan2001,chtc.wisc.edu,Dell PowerEdge R740,7DY1RJ3,,7DY1RJ3,none,,,Torn apart - Confirmed no UW tag anywhere on the chassis
CS2360,10N-104,37,hypervisor2006,chtc.wisc.edu,Dell PowerEdge R640,D57TZV2,,D57TZV2,U035966,C040830,,Was e2007
CS2360,10N-104,36,e2008,chtc.wisc.edu,Dell PowerEdge R640,D59RZV2,,D59RZV2,U035965,C040815,,
CS2360,10N-104,35,e2009,chtc.wisc.edu,Dell PowerEdge R640,D57SZV2,,D57SZV2,U035864,C040829,,
CS2360,10N-104,34,e2010,chtc.wisc.edu,Dell PowerEdge R640,D58VZV2,,D58VZV2,U035963,C040821,,
CS2360,10N-104,33,e2011,chtc.wisc.edu,Dell PowerEdge R640,D59TZV2,,D59TZV2,none,C040818,,Torn apart - Confirmed no UW tag anywhere on the chassis
CS2360,10N-104,32,e2012,chtc.wisc.edu,Dell PowerEdge R640,D59WZV2,,D59WZV2,U035962,C040822,,
CS2360,10N-104,31,e2013,chtc.wisc.edu,Dell PowerEdge R640,D59QZV2,,D59QZV2,none,C040820,,Torn apart - Confirmed no UW tag anywhere on the chassis
CS2360,10N-104,30,e2014,chtc.wisc.edu,Dell PowerEdge R640,D59XZV2,,D59XZV2,U035961,C040819,,
CS2360,10N-104,29,e2015,chtc.wisc.edu,Dell PowerEdge R640,D57RZV2,,D57RZV2,U035976,C040825,,
CS2360,10N-104,28,e2016,chtc.wisc.edu,Dell PowerEdge R640,D57VZV2,,D57VZV2,U035975,C040828,,
CS2360,10N-104,27,e2017,chtc.wisc.edu,Dell PowerEdge R640,D57QZV2,,D57QZV2,U035974,C040826,,
